Mod:Item:MetaData, Localized Name
minecraft:wool:4, Yellow Wool
minecraft:wool:5, Lime Wool
minecraft:wool:6, Pink Wool
minecraft:wool:7, Gray Wool
minecraft:wool:8, Light Gray Wool
minecraft:wool:9, Cyan Wool
minecraft:wool:10, Purple Wool
minecraft:wool:11, Blue Wool
minecraft:wool:12, Brown Wool
minecraft:wool:13, Green Wool
minecraft:wool:14, Red Wool
minecraft:wool:15, Black Wool
minecraft:yellow_flower:0, Dandelion
minecraft:red_flower:0, Poppy
minecraft:red_flower:1, Blue Orchid
minecraft:red_flower:2, Allium
minecraft:red_flower:3, Azure Bluet
minecraft:red_flower:4, Red Tulip
minecraft:red_flower:5, Orange Tulip
minecraft:red_flower:6, White Tulip
minecraft:red_flower:7, Pink Tulip
minecraft:red_flower:8, Oxeye Daisy
minecraft:brown_mushroom, Mushroom
minecraft:red_mushroom, Mushroom
minecraft:gold_block, Block of Gold
minecraft:iron_block, Block of Iron
minecraft:stone_slab:0, Stone Slab
minecraft:stone_slab:1, Sandstone Slab
minecraft:stone_slab:3, Cobblestone Slab
minecraft:stone_slab:4, Bricks Slab
minecraft:stone_slab:5, Stone Bricks Slab
minecraft:stone_slab:6, Nether Brick Slab
minecraft:stone_slab:7, Quartz Slab
minecraft:brick_block, Bricks
minecraft:tnt, TNT
minecraft:bookshelf, Bookshelf
minecraft:mossy_cobblestone, Moss Stone
minecraft:obsidian, Obsidian
minecraft:torch, Torch
minecraft:fire, Fire
minecraft:mob_spawner:0, Monster Spawner
minecraft:oak_stairs, Oak Wood Stairs
minecraft:chest, Chest
minecraft:diamond_ore, Diamond Ore
minecraft:diamond_block, Block of Diamond
minecraft:crafting_table, Crafting Table
minecraft:farmland, Farmland
minecraft:furnace, Furnace
minecraft:lit_furnace, Furnace
minecraft:ladder, Ladder
minecraft:rail, Rail
minecraft:stone_stairs, Stone Stairs
minecraft:lever, Lever
minecraft:stone_pressure_plate, Pressure Plate
minecraft:wooden_pressure_plate, Pressure Plate
minecraft:redstone_ore, Redstone Ore
minecraft:redstone_torch, Redstone Torch
minecraft:stone_button, Button
minecraft:snow_layer:0, Snow
minecraft:ice, Ice
minecraft:snow, Snow
minecraft:cactus, Cactus
minecraft:clay, Clay
minecraft:jukebox, Jukebox
minecraft:fence, Fence
minecraft:pumpkin, Pumpkin
minecraft:netherrack, Netherrack
minecraft:soul_sand, Soul Sand
minecraft:glowstone, Glowstone
minecraft:portal, Portal
minecraft:lit_pumpkin, Jack o'Lantern
minecraft:stained_glass:0, White Stained Glass
minecraft:stained_glass:1, Orange Stained Glass
minecraft:stained_glass:2, Magenta Stained Glass
minecraft:stained_glass:3, Light Blue Stained Glass
minecraft:stained_glass:4, Yellow Stained Glass
minecraft:stained_glass:5, Lime Stained Glass
minecraft:stained_glass:6, Pink Stained Glass
minecraft:stained_glass:7, Gray Stained Glass
minecraft:stained_glass:8, Light Gray Stained Glass
minecraft:stained_glass:9, Cyan Stained Glass
minecraft:stained_glass:10, Purple Stained Glass
minecraft:stained_glass:11, Blue Stained Glass
minecraft:stained_glass:12, Brown Stained Glass
minecraft:stained_glass:13, Green Stained Glass
minecraft:stained_glass:14, Red Stained Glass
minecraft:stained_glass:15, Black Stained Glass
minecraft:trapdoor, Trapdoor
minecraft:monster_egg:0, Stone Monster Egg
minecraft:monster_egg:1, Cobblestone Monster Egg
minecraft:monster_egg:2, Stone Brick Monster Egg
minecraft:monster_egg:3, Mossy Stone Brick Monster Egg
minecraft:monster_egg:4, Cracked Stone Brick Monster Egg
minecraft:monster_egg:5, Chiseled Stone Brick Monster Egg
minecraft:stonebrick:0, Stone Bricks
minecraft:stonebrick:1, Mossy Stone Bricks
minecraft:stonebrick:2, Cracked Stone Bricks
minecraft:stonebrick:3, Chiseled Stone Bricks
minecraft:brown_mushroom_block, Mushroom
minecraft:red_mushroom_block, Mushroom
minecraft:iron_bars, Iron Bars
minecraft:glass_pane, Glass Pane
minecraft:melon_block, Melon
minecraft:vine, Vines
minecraft:fence_gate, Fence Gate
minecraft:brick_stairs, Brick Stairs
minecraft:stone_brick_stairs, Stone Brick Stairs
minecraft:mycelium, Mycelium
minecraft:waterlily, Lily Pad
minecraft:nether_brick, Nether Brick
minecraft:nether_brick_fence, Nether Brick Fence
minecraft:nether_brick_stairs, Nether Brick Stairs
minecraft:enchanting_table, Enchantment Table
minecraft:end_portal, Unnamed Block, report to mod author.
minecraft:end_portal_frame, End Portal
minecraft:end_stone, End Stone
minecraft:dragon_egg, Dragon Egg
minecraft:redstone_lamp, Redstone Lamp
minecraft:wooden_slab:0, Oak Wood Slab
minecraft:wooden_slab:1, Spruce Wood Slab
minecraft:wooden_slab:2, Birch Wood Slab
minecraft:wooden_slab:3, Jungle Wood Slab
minecraft:wooden_slab:4, Acacia Wood Slab
minecraft:wooden_slab:5, Dark Oak Wood Slab
minecraft:cocoa, Cocoa
minecraft:sandstone_stairs, Sandstone Stairs
minecraft:emerald_ore, Emerald Ore
minecraft:ender_chest, Ender Chest
minecraft:tripwire_hook, Tripwire Hook
minecraft:emerald_block, Block of Emerald
minecraft:spruce_stairs, Spruce Wood Stairs
minecraft:birch_stairs, Birch Wood Stairs
minecraft:jungle_stairs, Jungle Wood Stairs
minecraft:command_block, Command Block
minecraft:beacon, Beacon
minecraft:cobblestone_wall:0, Cobblestone Wall
minecraft:cobblestone_wall:1, Mossy Cobblestone Wall
minecraft:carrots, Carrots
minecraft:potatoes, Potatoes
minecraft:wooden_button, Button
minecraft:anvil:0, Anvil
minecraft:anvil:1, Slightly Damaged Anvil
minecraft:anvil:2, Very Damaged Anvil
minecraft:trapped_chest, Trapped Chest
minecraft:light_weighted_pressure_plate, Weighted Pressure Plate (Light)
minecraft:heavy_weighted_pressure_plate, Weighted Pressure Plate (Heavy)
minecraft:daylight_detector, Daylight Sensor
minecraft:redstone_block, Block of Redstone
minecraft:quartz_ore, Nether Quartz Ore
minecraft:hopper, Hopper
minecraft:quartz_block:0, Block of Quartz
minecraft:quartz_block:1, Chiseled Quartz Block
minecraft:quartz_block:2, Pillar Quartz Block
minecraft:quartz_stairs, Quartz Stairs
minecraft:activator_rail, Activator Rail
minecraft:dropper, Dropper
minecraft:stained_hardened_clay:0, White Stained Clay
minecraft:stained_hardened_clay:1, Orange Stained Clay
minecraft:stained_hardened_clay:2, Magenta Stained Clay
minecraft:stained_hardened_clay:3, Light Blue Stained Clay
minecraft:stained_hardened_clay:4, Yellow Stained Clay
minecraft:stained_hardened_clay:5, Lime Stained Clay
minecraft:stained_hardened_clay:6, Pink Stained Clay
minecraft:stained_hardened_clay:7, Gray Stained Clay
minecraft:stained_hardened_clay:8, Light Gray Stained Clay
minecraft:stained_hardened_clay:9, Cyan Stained Clay
minecraft:stained_hardened_clay:10, Purple Stained Clay
minecraft:stained_hardened_clay:11, Blue Stained Clay
minecraft:stained_hardened_clay:12, Brown Stained Clay
minecraft:stained_hardened_clay:13, Green Stained Clay
minecraft:stained_hardened_clay:14, Red Stained Clay
minecraft:stained_hardened_clay:15, Black Stained Clay
minecraft:stained_glass_pane:0, White Stained Glass Pane
minecraft:stained_glass_pane:1, Orange Stained Glass Pane
minecraft:stained_glass_pane:2, Magenta Stained Glass Pane
minecraft:stained_glass_pane:3, Light Blue Stained Glass Pane
minecraft:stained_glass_pane:4, Yellow Stained Glass Pane
minecraft:stained_glass_pane:5, Lime Stained Glass Pane
minecraft:stained_glass_pane:6, Pink Stained Glass Pane
minecraft:stained_glass_pane:7, Gray Stained Glass Pane
minecraft:stained_glass_pane:8, Light Gray Stained Glass Pane
minecraft:stained_glass_pane:9, Cyan Stained Glass Pane
minecraft:stained_glass_pane:10, Purple Stained Glass Pane
minecraft:stained_glass_pane:11, Blue Stained Glass Pane
minecraft:stained_glass_pane:12, Brown Stained Glass Pane
minecraft:stained_glass_pane:13, Green Stained Glass Pane
minecraft:stained_glass_pane:14, Red Stained Glass Pane
minecraft:stained_glass_pane:15, Black Stained Glass Pane
minecraft:leaves2:0, Acacia Leaves
minecraft:leaves2:1, Dark Oak Leaves
minecraft:log2:0, Acacia Wood
minecraft:log2:1, Dark Oak Wood
minecraft:acacia_stairs, Acacia Wood Stairs
minecraft:dark_oak_stairs, Dark Oak Wood Stairs
AWWayofTime:Altar, Blood Altar
AWWayofTime:AlchemicalWizardrybloodRune:0, Blood Rune
AWWayofTime:AlchemicalWizardrybloodRune:1, Rune of Augmented Capacity
AWWayofTime:AlchemicalWizardrybloodRune:2, Rune of Dislocation
AWWayofTime:AlchemicalWizardrybloodRune:3, Rune of the Orb
AWWayofTime:AlchemicalWizardrybloodRune:4, Rune of Superior Capacity
AWWayofTime:AlchemicalWizardrybloodRune:5, Rune of Acceleration
AWWayofTime:lifeEssence, Life Essence
AWWayofTime:speedRune, Speed Rune
AWWayofTime:efficiencyRune, Efficiency Rune
minecraft:hay_block, Hay Bale
minecraft:carpet:0, Carpet
minecraft:carpet:1, Orange Carpet
minecraft:carpet:2, Magenta Carpet
minecraft:carpet:3, Light Blue Carpet
minecraft:carpet:4, Yellow Carpet
minecraft:carpet:5, Lime Carpet
minecraft:carpet:6, Pink Carpet
minecraft:carpet:7, Gray Carpet
minecraft:carpet:8, Light Gray Carpet
minecraft:carpet:9, Cyan Carpet
minecraft:carpet:10, Purple Carpet
minecraft:carpet:11, Blue Carpet
minecraft:carpet:12, Brown Carpet
minecraft:carpet:13, Green Carpet
minecraft:carpet:14, Red Carpet
minecraft:carpet:15, Black Carpet
minecraft:hardened_clay, Hardened Clay
minecraft:coal_block, Block of Coal
minecraft:packed_ice, Packed Ice
minecraft:double_plant:0, Sunflower
minecraft:double_plant:1, Lilac
minecraft:double_plant:2, Double Tallgrass
minecraft:double_plant:3, Large Fern
minecraft:double_plant:4, Rose Bush
minecraft:double_plant:5, Peony
AWWayofTime:runeOfSacrifice, Rune of Sacrifice
AWWayofTime:runeOfSelfSacrifice, Rune of Self-Sacrifice
AWWayofTime:ritualStone, Ritual Stone
AWWayofTime:masterStone, Master Ritual Stone
AWWayofTime:bloodSocket, Filled Socket
AWWayofTime:imperfectRitualStone, Imperfect Ritual Stone
AWWayofTime:armourForge, Soul Armour Forge
AWWayofTime:emptySocket, Empty Socket
AWWayofTime:bloodStoneBrick, Bloodstone Brick
AWWayofTime:largeBloodStoneBrick, Large Bloodstone Brick
AWWayofTime:blockWritingTable, Alchemic Chemistry Set
AWWayofTime:blockHomHeart, Spell Table
AWWayofTime:blockPedestal, Arcane Pedestal
AWWayofTime:blockPlinth, Arcane Plinth
AWWayofTime:blockTeleposer, Teleposer
AWWayofTime:spectralBlock, Spectral Block
AWWayofTime:bloodLight, Blood Light
AWWayofTime:blockConduit, Spell Conduit
AWWayofTime:AlchemicalWizardrytile.blockSpellParadigm:0, Particle Generator
AWWayofTime:AlchemicalWizardrytile.blockSpellParadigm:1, Self Augmentator
AWWayofTime:AlchemicalWizardrytile.blockSpellParadigm:2, Melee Aggregator
AWWayofTime:AlchemicalWizardrytile.blockSpellParadigm:3, Tool Forger
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:0, Unstable Spell Empowerer
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:1, Standard Spell Empowerer
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:2, Reinforced Spell Empowerer
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:3, Imbued Spell Empowerer
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:4, Demonic Spell Empowerer
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:5, Unstable Spell Dampener
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:6, Standard Spell Dampener
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:7, Reinforced Spell Dampener
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:8, Imbued Spell Dampener
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:9, Demonic Spell Dampener
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:10, Unstable Spell Augmentor
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:11, Standard Spell Augmentor
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:12, Reinforced Spell Augmentor
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:13, Imbued Spell Augmentor
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:14, Demonic Spell Augmentor
AWWayofTime:AlchemicalWizardrytile.blockSpellModifier:0, Default Spell Modifier
AWWayofTime:AlchemicalWizardrytile.blockSpellModifier:1, Offensive Spell Modifier
AWWayofTime:AlchemicalWizardrytile.blockSpellModifier:2, Defensive Spell Modifier
AWWayofTime:AlchemicalWizardrytile.blockSpellModifier:3, Environmental Spell Modifier
AWWayofTime:AlchemicalWizardrytile.blockSpellEffect:0, Crucible of Fire
AWWayofTime:AlchemicalWizardrytile.blockSpellEffect:1, Ice Maker
AWWayofTime:AlchemicalWizardrytile.blockSpellEffect:2, Wind Generator
AWWayofTime:AlchemicalWizardrytile.blockSpellEffect:3, Earth Former
AWWayofTime:spectralContainer, Spectral Container
AWWayofTime:demonPortalMain, Demon Portal
AWWayofTime:blockSchemSaver, Schematic Saver
AWWayofTime:blockReagentConduit, Alchemy Relay
AWWayofTime:blockAlchemicCalcinator, Alchemic Calcinator
AWWayofTime:blockCrystalBelljar:0, Crystal Belljar
AWWayofTime:blockCrystalBelljar:0, Crystal Belljar
AWWayofTime:blockCrystalBelljar:0, Crystal Belljar
AWWayofTime:blockCrystalBelljar:0, Crystal Belljar
AWWayofTime:blockCrystalBelljar:0, Crystal Belljar
AWWayofTime:blockCrystalBelljar:0, Crystal Belljar
AWWayofTime:blockCrystalBelljar:0, Crystal Belljar
AWWayofTime:blockCrystalBelljar:0, Crystal Belljar
AWWayofTime:blockCrystalBelljar:0, Crystal Belljar
AWWayofTime:blockCrystalBelljar:0, Crystal Belljar
AWWayofTime:blockCrystalBelljar:0, Crystal Belljar
AWWayofTime:blockCrystalBelljar:0, Crystal Belljar
AWWayofTime:blockCrystalBelljar:0, Crystal Belljar
AWWayofTime:blockCrystalBelljar:0, Crystal Belljar
AWWayofTime:blockCrystalBelljar:0, Crystal Belljar
AWWayofTime:blockCrystalBelljar:0, Crystal Belljar
AWWayofTime:blockDemonChest, Demon's Chest
AWWayofTime:blockCrystal:0, Crystal Cluster
AWWayofTime:blockCrystal:1, Crystal Cluster Brick
AWWayofTime:blockMimic, Mimic Block
AWWayofTime:blockEnchantmentGlyph:0, Glyph of the Adept Enchanter
AWWayofTime:blockEnchantmentGlyph:1, Glyph of Arcane Potential
AWWayofTime:blockStabilityGlyph:0, Glyph of Rigid Stability
AWWayofTime:blockCrucible, Incense Crucible
BiomesOPlenty:mud:0, Mud
BiomesOPlenty:mud:1, Quicksand
BiomesOPlenty:driedDirt, Dried Dirt
BiomesOPlenty:rocks:0, Limestone
BiomesOPlenty:rocks:1, Polished Limestone
BiomesOPlenty:rocks:2, Siltstone
BiomesOPlenty:rocks:3, Polished Siltstone
BiomesOPlenty:rocks:4, Shale
BiomesOPlenty:rocks:5, Polished Shale
BiomesOPlenty:ash, Ash Block
BiomesOPlenty:flesh, Flesh
BiomesOPlenty:plants:0, Dead Grass
BiomesOPlenty:plants:1, Desert Grass
BiomesOPlenty:plants:2, Desert Sprouts
BiomesOPlenty:plants:3, Dune Grass
BiomesOPlenty:plants:4, Spectral Fern
BiomesOPlenty:plants:5, Thorns
BiomesOPlenty:plants:6, Wild Rice
BiomesOPlenty:plants:7, Cattail
BiomesOPlenty:plants:8, River Cane
BiomesOPlenty:plants:12, Tiny Cactus
BiomesOPlenty:plants:13, Wither Wart
BiomesOPlenty:plants:14, Reed
BiomesOPlenty:plants:15, Root
BiomesOPlenty:flowers:0, Clover
BiomesOPlenty:flowers:1, Swampflower
BiomesOPlenty:flowers:2, Deathbloom
BiomesOPlenty:flowers:3, Glowflower
BiomesOPlenty:flowers:4, Blue Hydrangea
BiomesOPlenty:flowers:5, Orange Cosmos
BiomesOPlenty:flowers:6, Pink Daffodil
BiomesOPlenty:flowers:7, Wildflower
BiomesOPlenty:flowers:8, Violet
BiomesOPlenty:flowers:9, White Anemone
BiomesOPlenty:flowers:10, Waterlily
BiomesOPlenty:flowers:11, Enderlotus
BiomesOPlenty:flowers:12, Bromeliad
BiomesOPlenty:flowers:13, Eyebulb
BiomesOPlenty:flowers:15, Dandelion Puff
BiomesOPlenty:flowers2:0, Pink Hibiscus
BiomesOPlenty:flowers2:1, Lily of the Valley
BiomesOPlenty:flowers2:2, Burning Blossom
BiomesOPlenty:flowers2:3, Lavender
BiomesOPlenty:flowers2:4, Goldenrod
BiomesOPlenty:flowers2:5, Bluebells
BiomesOPlenty:flowers2:6, Miner's Delight
BiomesOPlenty:flowers2:7, Icy Iris
BiomesOPlenty:flowers2:8, Rose
BiomesOPlenty:stoneFormations:0, Stalagmite
BiomesOPlenty:stoneFormations:1, Stalactite
BiomesOPlenty:mushrooms:0, Toadstool
BiomesOPlenty:mushrooms:1, Portobello
BiomesOPlenty:mushrooms:2, Blue Milk Cap
BiomesOPlenty:mushrooms:3, Glowshroom
BiomesOPlenty:mushrooms:4, Flat Mushroom
BiomesOPlenty:mushrooms:5, Shadow Shroom
BiomesOPlenty:willow, Willow
BiomesOPlenty:ivy, Ivy
BiomesOPlenty:treeMoss, Tree Moss
BiomesOPlenty:flowerVine, Flowering Vines
BiomesOPlenty:wisteria, Wisteria
BiomesOPlenty:lilyBop:0, Medium Lily Pad
BiomesOPlenty:lilyBop:1, Small Lily Pad
BiomesOPlenty:lilyBop:2, Tiny Lily Pad
BiomesOPlenty:foliage:0, Duckweed
BiomesOPlenty:foliage:1, Short Grass
BiomesOPlenty:foliage:2, Medium Grass
BiomesOPlenty:foliage:3, Flax
BiomesOPlenty:foliage:4, Bush
BiomesOPlenty:foliage:5, Sprout
BiomesOPlenty:foliage:7, Poison Ivy
BiomesOPlenty:foliage:8, Berry Bush
BiomesOPlenty:foliage:9, Shrub
BiomesOPlenty:foliage:10, Wheat Grass
BiomesOPlenty:foliage:11, Damp Grass
BiomesOPlenty:foliage:12, Koru
BiomesOPlenty:foliage:13, Clover Patch
BiomesOPlenty:foliage:14, Leaf Pile
BiomesOPlenty:foliage:15, Dead Leaf Pile
BiomesOPlenty:turnip, Turnip
BiomesOPlenty:coral1:11, Kelp
BiomesOPlenty:coral1:12, Pink Coral
BiomesOPlenty:coral1:13, Orange Coral
BiomesOPlenty:coral1:14, Blue Coral
BiomesOPlenty:coral1:15, Glowing Coral
BiomesOPlenty:coral2:8, Algae
BiomesOPlenty:ashStone, Ash Stone
BiomesOPlenty:hardIce, Hardened Ice
BiomesOPlenty:appleLeaves:0, Apple Leaves
BiomesOPlenty:persimmonLeaves:0, Persimmon Leaves
BiomesOPlenty:moss, Moss
BiomesOPlenty:bamboo, Bamboo
BiomesOPlenty:mudBricks, Mud Bricks
BiomesOPlenty:originGrass, Origin Grass Block
BiomesOPlenty:longGrass, Long Grass Block
BiomesOPlenty:overgrownNetherrack, Overgrown Netherrack
BiomesOPlenty:bopGrass:0, Spectral Moss
BiomesOPlenty:bopGrass:1, Smoldering Grass Block
BiomesOPlenty:newBopGrass:0, Loamy Grass Block
BiomesOPlenty:newBopGrass:1, Sandy Grass Block
BiomesOPlenty:newBopGrass:2, Silty Grass Block
BiomesOPlenty:newBopDirt:0, Loamy Dirt
BiomesOPlenty:newBopDirt:1, Coarse Loamy Dirt
BiomesOPlenty:newBopDirt:2, Sandy Dirt
BiomesOPlenty:newBopDirt:3, Coarse Sandy Dirt
BiomesOPlenty:newBopDirt:4, Silty Dirt
BiomesOPlenty:newBopDirt:5, Coarse Silty Dirt
BiomesOPlenty:newBopFarmland:0, Loamy Farmland
BiomesOPlenty:newBopFarmland:1, Loamy Farmland
BiomesOPlenty:newBopFarmland:2, Sandy Farmland
BiomesOPlenty:newBopFarmland:3, Sandy Farmland
BiomesOPlenty:newBopFarmland:4, Silty Farmland
BiomesOPlenty:newBopFarmland:5, Silty Farmland
BiomesOPlenty:logs1:0, Sacred Oak Wood
BiomesOPlenty:logs1:1, Cherry Wood
BiomesOPlenty:logs1:2, Dark Wood
BiomesOPlenty:logs1:3, Fir Wood
BiomesOPlenty:logs2:0, Ethereal Wood
BiomesOPlenty:logs2:1, Magic Wood
BiomesOPlenty:logs2:2, Mangrove Wood
BiomesOPlenty:logs2:3, Palm Wood
BiomesOPlenty:logs3:0, Redwood Wood
BiomesOPlenty:logs3:1, Willow Wood
BiomesOPlenty:logs3:2, Dead Wood
BiomesOPlenty:logs3:3, Giant Flower Stem
BiomesOPlenty:logs4:0, Pine Wood
BiomesOPlenty:logs4:1, Hellbark Wood
BiomesOPlenty:logs4:2, Jacaranda Wood
BiomesOPlenty:logs4:3, Mahogany Wood
BiomesOPlenty:leaves1:0, Yellow Autumn Leaves
BiomesOPlenty:leaves1:1, Bamboo Leaves
BiomesOPlenty:leaves1:2, Magic Leaves
BiomesOPlenty:leaves1:3, Dark Leaves
BiomesOPlenty:leaves2:0, Dying Leaves
BiomesOPlenty:leaves2:1, Fir Leaves
BiomesOPlenty:leaves2:2, Ethereal Leaves
BiomesOPlenty:leaves2:3, Orange Autumn Leaves
BiomesOPlenty:leaves3:0, Origin Leaves
BiomesOPlenty:leaves3:1, Pink Cherry Leaves
BiomesOPlenty:leaves3:2, Maple Leaves
BiomesOPlenty:leaves3:3, White Cherry Leaves
BiomesOPlenty:leaves4:0, Hellbark Leaves
BiomesOPlenty:leaves4:1, Jacaranda Leaves
BiomesOPlenty:petals:0, Giant Red Flower
BiomesOPlenty:petals:1, Giant Yellow Flower
BiomesOPlenty:saplings:0, Apple Sapling
BiomesOPlenty:saplings:1, Yellow Autumn Sapling
BiomesOPlenty:saplings:2, Bamboo Sapling
BiomesOPlenty:saplings:3, Magic Sapling
BiomesOPlenty:saplings:4, Dark Sapling
BiomesOPlenty:saplings:5, Dying Sapling
BiomesOPlenty:saplings:6, Fir Sapling
BiomesOPlenty:saplings:7, Ethereal Sapling
BiomesOPlenty:saplings:8, Orange Autumn Sapling
BiomesOPlenty:saplings:9, Origin Sapling
BiomesOPlenty:saplings:10, Pink Cherry Sapling
BiomesOPlenty:saplings:11, Maple Sapling
BiomesOPlenty:saplings:12, White Cherry Sapling
BiomesOPlenty:saplings:13, Hellbark Sapling
BiomesOPlenty:saplings:14, Jacaranda Sapling
BiomesOPlenty:saplings:15, Persimmon Sapling
BiomesOPlenty:colorizedSaplings:0, Sacred Oak Sapling
BiomesOPlenty:colorizedSaplings:1, Mangrove Sapling
BiomesOPlenty:colorizedSaplings:2, Palm Sapling
BiomesOPlenty:colorizedSaplings:3, Redwood Sapling
BiomesOPlenty:colorizedSaplings:4, Willow Sapling
BiomesOPlenty:colorizedSaplings:5, Pine Sapling
BiomesOPlenty:colorizedSaplings:6, Mahogany Sapling
BiomesOPlenty:colorizedSaplings:7, Flowering Oak Sapling
minecraft:iron_shovel, Iron Shovel
minecraft:iron_pickaxe, Iron Pickaxe
minecraft:iron_axe, Iron Axe
minecraft:flint_and_steel, Flint and Steel
minecraft:apple, Apple
minecraft:bow, Bow
minecraft:arrow, Arrow
minecraft:coal:0, Coal
minecraft:coal:1, Charcoal
minecraft:diamond, Diamond
minecraft:iron_ingot, Iron Ingot
minecraft:gold_ingot, Gold Ingot
minecraft:iron_sword, Iron Sword
minecraft:wooden_sword, Wooden Sword
minecraft:wooden_shovel, Wooden Shovel
minecraft:wooden_pickaxe, Wooden Pickaxe
minecraft:wooden_axe, Wooden Axe
minecraft:stone_sword, Stone Sword
minecraft:stone_shovel, Stone Shovel
minecraft:stone_pickaxe, Stone Pickaxe
minecraft:stone_axe, Stone Axe
minecraft:diamond_sword, Diamond Sword
minecraft:diamond_shovel, Diamond Shovel
minecraft:diamond_pickaxe, Diamond Pickaxe
minecraft:diamond_axe, Diamond Axe
minecraft:stick, Stick
minecraft:bowl, Bowl
minecraft:mushroom_stew, Mushroom Stew
minecraft:golden_sword, Golden Sword
minecraft:golden_shovel, Golden Shovel
minecraft:golden_pickaxe, Golden Pickaxe
minecraft:golden_axe, Golden Axe
minecraft:string, String
minecraft:feather, Feather
minecraft:gunpowder, Gunpowder
minecraft:wooden_hoe, Wooden Hoe
minecraft:stone_hoe, Stone Hoe
minecraft:iron_hoe, Iron Hoe
minecraft:diamond_hoe, Diamond Hoe
minecraft:golden_hoe, Golden Hoe
minecraft:wheat_seeds, Seeds
minecraft:wheat, Wheat
minecraft:bread, Bread
minecraft:leather_helmet, Leather Cap
minecraft:leather_chestplate, Leather Tunic
minecraft:leather_leggings, Leather Pants
minecraft:leather_boots, Leather Boots
minecraft:chainmail_helmet, Chain Helmet
minecraft:chainmail_chestplate, Chain Chestplate
minecraft:chainmail_leggings, Chain Leggings
minecraft:chainmail_boots, Chain Boots
minecraft:iron_helmet, Iron Helmet
minecraft:iron_chestplate, Iron Chestplate
minecraft:iron_leggings, Iron Leggings
minecraft:iron_boots, Iron Boots
minecraft:diamond_helmet, Diamond Helmet
minecraft:diamond_chestplate, Diamond Chestplate
minecraft:diamond_leggings, Diamond Leggings
minecraft:diamond_boots, Diamond Boots
minecraft:golden_helmet, Golden Helmet
minecraft:golden_chestplate, Golden Chestplate
minecraft:golden_leggings, Golden Leggings
minecraft:golden_boots, Golden Boots
minecraft:flint, Flint
minecraft:porkchop, Raw Porkchop
minecraft:cooked_porkchop, Cooked Porkchop
minecraft:painting, Painting
minecraft:golden_apple:0, Golden Apple
minecraft:golden_apple:1, Golden Apple
minecraft:sign, Sign
minecraft:wooden_door, Wooden Door
minecraft:bucket, Bucket
minecraft:water_bucket, Water Bucket
